abstract,class
"背景：手術安全之目標及策略，一直都是醫策會監測醫院安全目標之一。然而，少有研究探討手術全期護理能力，對手術病人的安全與照護品質是有直接之影響力，特別是在台灣，亦沒有發展測量之工具。, 目的：發展手術全期護理能力量表中文版（Perceived Perioperative, Competence Scale-Revised，PPCS-R）並進行信效度檢測。, 方法：此量表由Gillespie（2012）所研擬，共40題用以評估受測者的護理能力。三步驟翻譯量表以建構中文版手術全期護理能力量表。第一步驟為雙向翻譯，建立『手術全期護理能力量表中文版』之內容一致性。第二步驟為中文版量表專家效度與表面效度之檢測。第三步驟為方便取樣，選取南部多家醫院手術室護理人員50人。以信、效度作為資料檢測依據：信度（reliability）之檢定包括內在一致性、再測信度及施測者間的一致性；效度（validity）之檢定包括專家效度、表面效度等。另外針對手術室護理人員30人進行主管施測者間的一致性測試。, 結果：PPCS-R中文版量表雙向翻譯與量表效度，CVI值為0.93。內在一致性整體量表Cronbach’s α為0.98，六項構面內α係數介於0.83至0.91。再測信度整體量表Pearson相關為0.82（P<0.001），六大構面相關係數介於0.76-0.81（P<0.001）；施測者間的一致性，整體量表Pearson相關檢測為0.94（P<0.001），各項構面之相關係數介於0.87-0.94（P<0.001）。, 結論與建議：PPCS-R中文版量表具有良好的信、效度，有助於檢測護理人員之護理能力，並對手術全期護理能力的教育，可依能力、層級的不同設定符合的課程與評值方法。建議未來仍可擴大收案範圍，進行驗證式統計；且原始量表題目40題，同質性過高，可進一步進行題目縮減，降低受測者之負荷。,",醫學
"隨著社會變遷與價值觀改變，現代女性必須外出工作，在職場上面對競爭的壓力，同時也背負著傳統女性照顧家庭的職責。女性面對多重角色形成的壓力，對健康造成負面影響，而女性化性別角色特質較強者，壓力也較大，影響健康。, 本研究主要目的為：(1)探討多重角色女性護理學生角色壓力、身心症狀、性別角色的相關性；(2)探討多重角色女性護理學生性別角色於角色壓力與身心症狀關係的影響。, 本研究為一橫斷性研究，以方便取樣法收集具有護理師/士職照之在職進修女學生，並兼具職業角色、配偶或/和父母與學生的角色者，共收案219人，以結構式問卷收集參與者性別角色、角色壓力與身心症狀的狀況，研究工具為女性角色壓力量表、身心適應問題量表與性別角色信念量表；女性傳統特質的題平均值與標準差為3.32 ± 1.20，以題平均值作為女性傳統特質的分類，在±1 SD之間歸類為對女性傳統特質沒意見，得分≧ 4.53歸類為認同傳統女性角色，得分≦ 2.12歸為不認同女性傳統角色；運用描述性統計與t-test、變異數分析(ANOVA)、複迴歸分析等推論性統計方式進行資料分析。, 研究結果為：(1)角色壓力與身心症狀有顯著相關(p < .001)；(2)與公婆同住者，身心症狀較少；(3)女性傳統角色的態度不同，角色壓力與身心症狀的關係也不同，對傳統女性角色態度沒意見者，角色壓力與身心症狀呈現顯著正相關，而對傳統女性角色態度不認同或認同者，角色壓力與身心症狀的關係，則未呈現顯著性。, 本研究結果傳統女性角色態度為沒意見者，角色壓力越大則身心症狀越多。本研究可供在職進修之護理工作場所及護理學校參考，協助在職進修女性護理學生調適多重角色的生活。,",醫學
"研究目的：探討運用常識模式為基礎的衛教介入對提升住院心臟衰竭病人出院後三個月之患病表徵與自我照顧行為的成效。, 研究方法：採實驗性設計、方便性取樣於南部某教學醫院的心臟科病房。採隨機分配為兩組，每位個案完成三次問卷追蹤，時間點為前測、出院後1個月及3個月。納入條件：被醫師診斷心臟衰竭（NYHA II-III）、20歲以上、可國台語溝通、無生活自理能力缺失者，共收案107位，其中介入組58位、對照組49位，完成出院後三個月追蹤者各為30及32位。二組除住院常規衛教外，給予衛教本。介入組於前測後，分析其患病表徵得分狀況，以心臟衰竭自我照顧衛教手冊進行個別性衛教約20-60分鐘，於出院後二周及第2個月電話追蹤。研究工具含心臟衰竭患病信念量表、心臟衰竭自我照顧指標。統計分析包含獨立t檢定及線性混合模式，其中遺漏資料採直接最大可能性估計處理。, 研究結果：個案平均年齡為62歲，介入組64歲、控制組60歲，兩組間的人口學特性均無統計上的顯著差異。患病表徵方面，78.5%病人對心衰竭病因有錯誤認知，但多數患病表徵單題得分偏向與醫護人員一致。在二組比較方面，患病表徵總分、辨認、時間軸、控制及後果於時間、組別及時間和組別的交互作用均未達顯著差異。自我照顧方面，兩組於前測之自我照顧信心前測得分為介入組59分、對照組53分，線性混合模式分析顯示組別（p 〈 .001）及時間和組別（p 〈 .05）的交互作用中呈顯著差異，事後比較兩組於出院後第一個月（p 〈 .05）、第三個月（p 〈 .001）以及出院後三個月和前測的變化趨勢（p 〈 .01）呈顯著差異。自我照顧維持前測得分在介入組54分、對照組56分。自我照顧維持於時間（p 〈 .001）達顯著差異，但於組別及組別和時間的交互作用未達顯著差異。, 研究結論：整體上，二組個案之患病表徵偏向與醫療人員一致但自我照顧不佳，透過以常識模式為基礎所提供的患病表徵衛教以及三個月的電話追蹤，介入組的自我照顧維持行為並未有顯著的改善，雖然病人的自我照顧信心不足，但衛教能維持病人的信心。,",醫學
"本研究旨在瞭解桃園市衛生所人員長期照顧政策服務對象、服務項目、社區整體照顧模式ABC、補助標準及運作模式之認知差異情形。本研究透過「衛生所人員對長期照顧十年計畫2.0政策執行之評估調查問卷」，以問卷調查方式，針對桃園市十三區衛生所人員，共發出279份，回收有效問卷237份，有效問卷回收率為85%。資料分析研究方法為次數分配、獨立樣本t檢定、單因數變異數分析、Scheffe事後比較檢定假設。本研究以量化性結果及質化研究方法，深度訪談桃園市都會型、鄉村型及原鄉型三個衛生所的工作人員三位。研究結果顯示：研究對象之衛生所人員以女性青壯年護理人員為主，七成為大學以上學歷，服務年資以1到15年為主(55.7%)，惟受訪者服務年資未滿1年及到滿5年佔36.7%，表示衛生所人力流動的狀況。受訪人員有22.4%未曾參加長期照顧說明會及22.36%未曾參加專業訓練。在長期照謢政策認知以服務對象認知最清楚為95.53%，其次服務項目認知有86.72%，最不清楚是運作模式認知佔44.5%。另衛生所人員在不同教育程度、職務、職稱及聘僱在政策認知有顯著差異存在，其餘在性別、年齡、婚姻狀況、服務年資無顯著差異。在長期照顧背景方面，衛生所人員的在職訓練時數長短，在長期照顧政策認知的五個變項方面，均呈現顯著差異；另外，衛生所人員對其服務對象需求之認知，在長照政策認知的服務對象、服務項目，與運作模式方面有顯著差異；最後，個別家庭中共同居住的年長者人數，使衛生所人員在政策認知的運作模式上有顯著差異。經訪談結果分析衛生所人員長期照顧政策認知問題成因為政策變動長期照顧資訊不足及衛生所在長期照顧體系之角色功能不清。綜上所述，研究者建議長照體系單一窗口建立並發揮其功能，確定衛生所在長期照顧角色功能定位，透過教育訓練相關說明會及專業訓練，提升衛生所人員長期照顧知能。,",醫學
"隨著醫療科技的進步、全球老化及慢性病人口增加，醫護人員面臨生命末期照護的機會升高（蔡、李，2002；胡、張，2015），非安寧單位醫護人員應具備臨終照護、協助病情調適、後續照護及出院規劃等能力，以提供病人及其家人適切之生理、心理、社會與靈性層面之照護。而各單位病人所遇之生命末期照護情境不同，各單位護理師對末期照護的認知、態度亦有所差異，包含症狀控制的概念、心理社會評估、相關倫理思辨等層面，目前於護理養成教育、醫院在職教育在生命末期照護之課程有限，專業學會所開設之課程完善但並非臨床護理人員皆能彈性排假，難使照護不同病人族群之護理師有系統、有效率的學習與其照護病人相關之末期照護技能。盼能以此研究了解照護不同病人族群之護理師於生命末期的教育需求，使不同單位的護理人員能依自己的需求，有效率的學習末期照護課程，提升整體末期照護品質。本研究以橫斷性研究方法，採立意取樣，以臺北某醫學中心內科系病房及腫瘤科病房護理人員為研究對象，共收案380位護理人員。研究工具為自擬半結構式問卷，內容包含護理人員基本資料、工作經驗、生命末期照護學習經驗，以及常見生命末期照護情境之遭遇頻率、執行困難程度、教育需求程度的相關資料，共四部分。研究發現護理人員於生命末期照護情境之教育需求平均得分為3.68 ± 0.56（Lickert scale 5分），介於「普通」至「有需求」之間，以「轉介評估與說明安寧緩和照護」最高（平均得分3.75 ± 0.65），得分高至低依序為「生理層面照護」（平均得分3.74± 0.67）及「心理、社會及靈性層面照護」（平均得分3.74± 0.61）、「倫理、法律、自我覺察」（平均得分3.61± 0.67）、「團隊合作與溝通」（平均得分3.42±0.71）；依得分最高之題項排序前5者，為「評估及協助家屬的病情調適情形」、「評估及協助末期病人的病情調適情形」、「評估及協助家屬的情緒困擾」、「評估並處理末期病人的緊急狀況」、「評估及協助末期病人的情緒困擾」。而整體生命末期照護情境之「教育需求程度」與整體之「執行困難程度」呈中度正相關（r=0.60，p<0.01），與整體之「遭遇頻率」呈低度正相關（r=0.12，p=0.02）。生命末期學習經驗的不同，整體生命末期照護情境之「教育需求程度」有顯著差異，另外，於「學歷」、「重要親友往生經驗」、「參與專科學會與否」、「參與安寧緩和護理學會與否」、「參與急重症護理學會與否」、「工作單位」、「護理進階層級」、「曾參與院內其他專科課程」、「曾參與院內線上課程」於各層面之教育需求程度有所差異。「倫理、法律、自我覺察情境執行困難程度越高」、「轉介評估及說明安寧緩和照護之困難程度越高」、「心理、社會、靈性層面照護情境執行困難程度越高」、「年齡越低」、「有參加安寧緩和護理學會者」，為整體生命末期病人照護情境之教育需求中重要的預測因子，可解釋整體變異量達39.14%；其中，「倫理、法律、自我覺察情境執行困難程度」是各層面教育需求之共同預測因子。未來可依據各情境之遭遇頻率、執行困難、教育需求在各單位及各進階層級的分布情形規劃「共通課程」與「具單位特殊性之課程」，使臨床護理人員的學習狀況更貼近其需求；往後的研究建議可以針對「需求內容」及「困難來源」有更深入的討論，進一步針對不同護理角色、不同準備度的護理人員有更精準、細緻的課程規劃，以加強末期照護中護理角色的深度及廣度。,",醫學
"研究背景：近數十年來台灣經濟之發展，社會結構與傳統價值觀的轉變，女性也成為經濟提供者。女性因投入職場而限制家庭中傳統角色的表現，若同時是職業婦女，其家庭、小孩照顧更是壓力來源，種種壓力常讓護理職場上的職業婦女力不從心、心悸、頭痛、及憂愁。目前研究中多數探討護理人員之工作負荷，但為了照顧家庭成員而離開職場亦有所聞，而護理人員工作負荷與母職焦慮之相關性之探討尚缺乏。, 研究目的：本研究旨在(1)了解育有子女之不同背景女性護理人員與工作負荷及母職焦慮的現況。(2)了解育有子女之不同背景女性護理人員之工作負荷差異情形，(3)了解育有子女之不同背景女性護理人員之母職焦慮差異情形，及(4)探討育有子女之女性護理人員的工作負荷與母職焦慮之間的關係。, 研究方法：採用橫斷式問卷調查法，於南部某區域教學醫院方便取樣進行收案，由研究者到單位說明，並篩選符合收案條件之個案。研究工具將使用結構性問卷，包括個案之基本資料、NASA-TLX改良量表、及母職焦慮量表。本研究資料採用描述性、Pearson積差相關及單因子變異數分析。, 結果：本研究共有240份有效樣本。研究對象平均「年齡」為38.21歲(標準差：5.59)，「教育程度」以二技/四技/大學居多(72.92%)。「目前機構服務年資」平均年資為13.16年(標準差：6.64)。「護理工作總年資」平均為15.27年(標準差：6.22)。以護理師居多(65.83%)。「工作職級」以N2為最多。工作負荷平均總分38.56(標準差：4.67)，母職焦慮平均總分67.90(標準差：17.16)。機構服務年資越久者、已婚者、第一名子女之年齡為學齡前期及家庭成員較不能協助處理家事或育兒者，在工作負荷感受顯著較大。機構服務年資越久者，母職焦慮之感受顯著較低。年齡偏低者、工作班別為輪班者、家庭月收入偏低者，及家庭成員較不能協助處理家事或育兒者，在母職焦慮之感受顯著較高。育有子女之女性護理人員之工作負荷與母職焦慮之間有顯著的正相關。, 結論：根據本研究結果，部分不同背景育有子女之女性護理人員，分別與工作負荷、母職焦慮有顯著差異；工作負荷與母職焦慮之間有顯著相關。建議醫院在臨床實務可以定期評估各階層護理工作負荷，調整軟硬體設施；政策面能推展異業結盟之親職教育課程，盡量使育有子女之女性護理人員在家庭與工作間取得平衡。, ,",醫學
"護理品質的提升，必須從要求護理能力著手，專科護理師學會在2009年明訂專科護理師的四項專業能力，及教學醫院評鑑制度也將專科護理師之「專業能力進階-繼續教育」列入評鑑項目，故本研究擬定專科護理師護理能力量表並探討信度與效度。本研究旨在運用德爾菲研究法(Delphi technique)建立專科護理師的護理能力項目及構面，並測試此量表之信度與效度。採橫斷式探索性研究設計及立意取樣，以臺灣中部地區醫學中心與區域醫院之護理人員，並具有專科護理師證照者為研究對象，收集樣本數為281人。結構式問卷收集期間為自2015年3月至2015年6月。使用SPSS 18.0 for Windows 統計軟體進行統計分析，採用描述性統計、信度分析、因素分析、項目分析等方法分析資料。研究結果得知經二次德爾菲研究，專科護理師護理能力的項目均≦收歛值0.6，顯示專家意見具中高度以上一致性，平均CVI值介於0.8~1之間，顯示具有良好專家效標指數。本量表之Cronbach’s α係數為0.97，表示內在一致性高，八週後再測信度相關係數為0.74 (P＜0.001)，顯示再測信度值高。經探索性因素分析萃取出七個構面，分別為照顧能力(12題)、評估能力(8題)、教學能力(6題)、溝通協調能力(10題)、品質管理能力(13題)、研究能力(8題)及專業成長能力(8題)，護理能力共計65個題目，累積總變異數為 72.71%，Cronbach’s α係數為0.97。本研究結果顯示專科護理師護理能力量表應用於測量臨床專科護理師之護理能力是具有良好的信度與效度，建議此量表可作為評核臨床專科護理師之護理能力，並針對專科護理師在職教育訓練提供機構主管規劃專科護理師進階制度之參考。,",醫學
"本論文命名為《臺灣護理散文研究：以趙可式、林月鳳、胡月娟、洪彩鑾為例》。昔往已有不少疾病書寫、醫師作家等先行研究，然而專研護理文學的研究者卻寥寥無幾。護理文學是臺灣文學界的空白地帶，亟需學者接力投入墾闢。本論文實屬基礎性、階段性研究，含括作家研究、文本分析等研究方法。作家研究部分，以實地訪談與文獻考證，建立個別護理作家的文學小傳與生平年表；文本分析部分，則嚐試觀察個別護理作家的書寫面向、題旨寓意、文本特色等，並於結語歸納護理散文的整體風貌。, 　　雖然護理作家的書寫內容多半環繞護病關係，不過各有所長、各有偏重。趙可式著力於護理身分的自我辯證，以及改革生命教育、推動安寧療護的初衷；林月鳳則從護生、臨床護理談至公衛護理，在在以傳光精神為畢生使命；胡月娟多年來坐鎮學院，以自我學習經驗，授予後代護生，頗有向內傳承的教育意味；洪彩鑾展演職業軍人的果斷剛毅，亦發散白衣天使的敦厚柔情，可謂剛柔並濟。護理散文是跨學科的文類，兼具理性與感性、科學與文學，除了弭平醫病關係或護病關係間的資訊不對稱，也得以傳遞時下正確有益的衛教常識與醫療學識，毋寧具有教育、破除傳統觀念等社會功能。護理散文的出現，擡升了護理工作的存在價值，同時探索、撫觸、經營著護病關係，展演白色巨塔內、有別於以醫師為關注核心的真實樣貌。,",醫學
"臺灣地區人口老化，長期照護需求增加，需要居家護理師的投入。本研究旨在探討居家護理師的執業壓力與相關因素。以台中市居家護理所執業的護理師為研究對象。採結構式問卷進行資料收集，內容包括個人屬性變項、執業動機、執業型態、居家護理主要服務內容、工作時間、護理業務及其執業困難與執業壓力等構面。,     問卷共發出213份，回收有效問卷183份，回收率86%，資料建檔後以SPSS 19.0版進行分析。研究結果：受訪居家護理師平均年齡為41.1±0.58歲，居家護理師工作年資5.99±5.24年，獨立型態居家護理所62.84%，專職者80.87%，平均每日工作時間7.31±3.04小時 ，平均每月個案管理 58.06±32.06 人、護理訪視72.12±34.9人次。服務內容包括：身體評估、護理指導、更換鼻胃管、導尿管、氣切；傷口及造口護理、疾病衛教、健康諮詢之外，尚需有醫療器材輔具使用指導94%，跨團隊轉介90%，社會資源轉介87%，醫療器材輔具租賃諮詢83%，返診聯繫70%。,     自覺主要的執業困難：依據得分排序如下：行政管理(79.25分)，專業服務(61.96分)。安全管理(60.50分)，人力物力管理(57.00分)；其執業壓力，, 得分排序雷同：行政管理(76.75分)，安全管理(54.13分)，人力物力管理(53.04分)，專業服務(51.96分)。,     進一步以逐步回歸探討居家護理師執業壓力之相關影響因子，獲得標準化回歸公式如下：, Y(壓力總分)= 0.788(困難總分)-0.116( 有受訓在職教育)-0.152(年齡)-0.114(教育時數)-0.099(專職),       顯示影響居家護理師執業壓力的主要因子除了自覺工作困難程度之外；若未接受在職教育者或在職教育時數較少者、年齡愈小者及執業型態為兼職者其壓力較大。,     由此結果建議主管機關應簡化居家護理師的行政文書量、健保申報程序，減少督導考核程序及評鑑作業，提升居家訪視的安全管理等；以減輕工作的困難之外，宜增加辦理研習，鼓勵居家護理師參與教育訓練，鼓勵專職以減少執業壓力，並鼓勵年輕的居家護理人員投入，以留任及增加居家護理師的照護功能。, ,",醫學
"目的：, 近十年來的文獻資料顯示護理人員發生職場肌肉骨骼問題高達30.0%~, 91.6%，而解決肌肉骨骼問題最有用的方法是運動，本研究探討為期望肌肉骨骼問題之高風險族群的護理人員本其對健康概念有高度認知，能透過伸展運動的介入活動計畫進行，以瞭解適度運動改善肌肉骨骼問題之程度，並以Deci與Ryan提出(1985)提出的自我決定理論模式為架構主軸，以應用於詮釋某種行為之自主動機強度，再尋找出其相關預測因子，基本心理需求的自主性、勝任感與關係感，加強對人的行為解釋力，本研究目的：, (一)瞭解護理人員之肌肉骨骼問題、自主動機、基本心理需求情況, (二)驗證伸展運動介入對護理人員的肌肉骨骼問題、自主動機、基本心理需求之效果, 方法：, 在北部某一大型教學醫學中心腦神經三個內科及三個外科病房，隨機各抽出兩個單位，再隨機將一內科一外科分配至實驗組或控制組。排除急性疼痛者及已經規律使用治療方法者，實驗組提供伸展運動訊息傳遞、團體動力與伸展海報介入，對照組僅提供伸展運動海報。共計12週，第一至八週為介入措施期，後續四週僅提供伸展運動海報的觀察期，共填寫三次結構式問卷，分別在第一周、第八周與第十二周，內容有簡易疼痛量表(Brief Pain Inventory,BPI)、運動動機量表(Sport Motivation Scale,SMS)及基本心理需求量表(Basics Need Scale)等，使用統計軟體SPSS 22.0版分析資料。基本資料、肌肉骨骼問題、自主動機、基本心理需求使用描述性統計之平均數、標準差及百分比。介入之效果則使用單因子變異數分析(one -way ANOVA)及重複測量變異數分析(Repeated measure ANOVA)檢定統計。, 結果：, 本研究對象共88位(實驗組41位、控制組47位)之肌肉骨骼問題盛行率為70.5%，發生部位前三名：肩頸部(20.45%)、腰部(18.2%)、手部(9.1%)、大腿(9.1%)，自主動機為：內在動機>外在調整、內攝調整＞無動機>認同動機，基本心理需求為：關係感>自主性>勝任感。在肌肉骨骼問題產生的疼痛最厲害程度(P=0.037)和平均疼痛程度(P=0.041)具有顯著意義的組內改善情況，在研究對象的組內測量及兩組之間，自主動機之無動機(P=0. 008、P=0. 022)與動機強度(P=0. 002、P=0. 014)和基本心理需求之關係感(P=0. 022、P=0. 022)皆具有顯著意義的改善與差異。, 結論：, 透過介入措施，全體研究對象在「疼痛最厲害程度」和「平均疼痛程度」有顯著改善；在執行伸展運動之自主動機方面，不論組間或組內都有顯著差異，且實驗組優於控制組；在基本心理需求方面，組內「關係感」具統計意義。顯示介入措施有具體成效。未來建議單位主管可規劃短時間的伸展運動舒緩護理人員肌肉骨骼問題，可透過不同策略，順應其心理需求，強化自主性動機，積極推動個人健康管理。,",醫學
"本研究主要在於探討課徵營業稅對台北市產後護理機構營業收入的影響，本研究利用2014至2017年共4年台北市共九個行政區41家產後護理機構的追蹤資料進行分析。經過多個檢定方法的檢定結果顯示，隨機效果模型是最佳的實證模型，且本研究的實證模型中所包含的解釋變數之間並沒有共線性的問題。本研究的主要研究結果如下：首先課徵營業稅在統計上確實對台北市產後護理機構的營業收入具有負向的影響。換言之，政府對產後護理機構的營業收入課徵營業稅，確實會導致其營業收入下降。其次，性別比及成立日數在統計上亦會實對台北市產後護理機構的營業收入具有負向的影響。但是，嬰兒床數在統計上卻對台北市產後護理機構的營業收入具有正向的影響。以上的研究發現皆與本研究的預期結果相符。本研究根據上述的研究結論建議，政府應免除產後護理機構的營業稅，並且利用租稅政策鼓勵產後護理機構汰舊換新，並鼓勵投資增加床數，以增加產後護理機構的營業收入，並有利於其發展。如此，將可間接鼓勵生育以減緩少子化與人口老化所可能帶來的經濟與社會問題。,",醫學
"中文摘要, , 在電子病歷所架構病歷資料e化格式以及醫院評鑑規範之下，醫療組織因應資訊化需求導入資通訊科技，造就了使用者端之科技壓力現象，因此本研究以任務科技配適理論為研究架構基礎，來探討護理人員任務與科技間的配適程度以及電腦素養對護理人員科技壓力的影響程度，並探討護理人員的電腦素養是否對任務科技配適度與科技壓力之間的關係具有調節作用。, 本研究針對某醫院之護理人員進行紙本問卷調查，共發出317份問卷，回收216份有效樣本。研究結果透過PLS-SEM結構方程式模型進行統計分析，結果顯示，任務科技配適度對護理人員之科技壓力為無顯著影響，而護理人員的電腦素養對科技壓力為負向並顯著影響，最後護理人員電腦素養對科技壓力為調節之影響並不顯著。, ,",醫學
"由於人口結構、社會型態及價值觀的轉變，近年來雖然少子化現象明顯，但產後護理之家卻不斷增加，產後照顧由「傳統型態的產後照護」轉變到市場型態、可以消費的產後照護模式，並且結合醫療服務與專業照顧的特色，成為一種新興的護理服務產業，然而產業間的強烈競爭也變得更加白熱化，雖蘊含商機無限但實際上的經營卻不如想像中容易，各產後護理之家如何在競爭越來越激烈的環境下提高孕產婦的入住意願已經成為各產後護理之家一個刻不容緩的問題。, 本研究採量化研究，共計209份問卷，探究在產後護理之家符合政府的法令規範的前提下，增加提供醫療服務、健身美容、知識學習或、休閒娛樂等不同層面服務，在不同涉入程度的干擾因子下，是否會對消費者入住意願產生影響？而根據研究結果得知，在提供醫療服務、知識學習等的知覺品質上，在不同涉入程度族群會有顯著差異。而對產後護理之家的入住意願，主要還是以提供醫療服務構面影響最大，並且會受到不同涉入程度干擾而有差異。, ,",醫學
"近年來護理資訊系統蓬勃發展，各家醫院護理資訊系統導入成效也各有所長，而呈現百家爭鳴的盛況。經由文獻查證發現目前僅有部分醫院推展手術護理資訊系統，且僅針對手術室護理資訊系統導入進行探討，並沒有對於手術全期照護的資訊系統進行成效評估，然而手術是跨單位且需要由各醫療專業人員共同合作，它是充滿高風險及複雜的作業流程，因此本研究目的是以臨床資訊系統成功模式（Clinical Information Systems Success Model, CISSM）為架構，探討手術護理資訊系統導入後，影響其成功推展之相關因素，以做為未來開發其他護理資訊系統的參考。,    本研究為橫斷式相關性研究，於中部某區域教學醫院以方便取樣方法，選取176位護理人員參與本研究，採用問卷調查方法，於手術護理資訊系統導入後第六個月進行資料收集。問卷內容包含結構式問題、開放式問題及基本資料等三部分。研究資料以SPSS 22.0版軟體進行資料建檔與分析，使用描述性和推論性統計方法進行資料分析。,    本研究結果發現：（1）影響手術護理資訊系統成功導入因素中，以「淨效益」平均分數最高。（2）影響手術護理資訊系統成功導入各相關因素之間的相關性皆為正相關，以「使用滿意度」對「淨效益」之相關性最高，「使用依賴度」及「使用滿意度」等因素，與導入「淨效益」間有高度相關性。（3）預測手術護理資訊系統成功導入因素部份，以「資訊品質」對「使用依賴度」及「使用滿意度」預測力最高，「使用滿意度」對「淨效益」有極高預測力，預測系統使用依賴度、使用滿意度及淨效益的總解釋力，分別為73.0 %、69.7 % 及82.9 %。本研究驗證臨床資訊系統成功模式，能夠探討護理人員使用手術護理資訊系統之相關因素及預測系統成功導入的淨效益，期望藉由本研究使用系統導入成效的評值模式，可做為未來預測護理資訊系統導入成效的評估工具。, ,",醫學
"依內政部戶政司統計，台灣面臨家庭結構的改變，小家庭結構成長，家庭人口結構減少，和高齡化及少子化現象，及家庭經濟狀況等因素，影響照顧者及被照顧者選擇、居家照顧、居家看護、機構式照顧。, 本研究採訪談，透過里長和居服單位介紹和目前長期照顧家庭者，訪談長期照顧者及被照顧者，對於長期照顧協助，需求及遇到困境，及長期照顧政策發展等意見。研究結果，對於政府施行長期照顧，照顧者及被照者基本是正面認同，但都會區和偏遠地區有些問題可能不太一樣，例目前比較偏遠地區，對於交通和醫療，可能比較不方便，需求性比較大。依家庭經濟結構需求有所不同，照顧者或被照顧者其中有高中收入者，偏向請居家看護和家人分配照顧，低收人者偏向自己照顧，依政府單位、里長、居服員、社工人員、照顧者、被照顧者與相關文獻的歸納後，綜合以上經驗，本研究提出具體建議，供參考。, , ,",醫學
