abstract,class
"人類乳突病毒是一種雙股DNA的濾過性病毒，使人類之肛門、生殖道粘膜造成感染及病變，目前全世界第4大常見的婦女癌症是子宮頸癌，在全球常見癌症排名第七位，隨著新型Gardasil 9人類乳突病毒疫苗的研發上市，臨床護理人員在推薦民眾及預防疾病上扮演著重要的角色，本研究目的在於探討護理人員接種人類乳突病毒疫苗之意向及相關因素。本研究採量性橫斷面研究設計以健康信念模式為理論架構，發放QR code線上問卷，採叢聚隨機取樣701位在職臨床護理人員，有效回收率約93％，採用SPSS22.0建立資料及統計分析，研究結果顯示：（1）研究對象整體知識量表總平均得分為15.01±3.45分，相關知識認知不足；（2）有意願免費接種有640位（91.3％）高於自費接種464位（66.2％）﹔自費可負擔的平均價格為6,400元新台幣。（3）影響自費接種HPV疫苗意願之相關因素為：｢年齡｣、｢服務科別｣、｢感受罹患人HPV相關疾病的可能性｣、｢感受HPV疫苗接種的好處｣、｢感受HPV疫苗接種的障礙｣、｢疾病預防行為的自我效能｣、｢促成HPV疫苗接種的行動線索中｣。（4）影響免費接種HPV疫苗意願之相關因素為：｢年齡｣、｢家庭平均月收入｣、｢是否有照顧過子宮頸癌的病人｣、｢是否有親友罹患過人類乳突病毒的感染｣、｢是否有親友罹患過子宮頸癌｣、｢您之前是否有聽說過人類乳突病毒、或是HPV｣﹔｢HPV疫苗相關知識｣﹔｢感受罹患HPV相關疾病的嚴重性｣、｢感受HPV疫苗接種的好處｣、｢感受HPV疫苗接種的障礙｣、｢過去至今沒有施打過任何自費的疫苗｣。根據以上結果可提供學校及醫療相關單位，了解影響護理人員接種人類乳突病毒疫苗之相關因素以利排除，並鼓勵提供HPV相關知識及訊息，有助於推廣民眾接種人類乳突病毒疫苗意願提升。, , ,",醫學
"目的：探討使用居家式長期照顧服務對主要照顧者健康之影響及影響因子。, 方法：本研究屬橫斷性設計，納入2011年1月至2012年4月期間，於臺北市長期照顧管理中心登記且通過審核使用長照十年計畫服務之被照顧者及其主要照顧者。以電話聯繫被照顧者，同意參加者寄發兩份問卷（被照顧者與主要照顧者填寫）及知情同意書，填寫後寄回。, 結果：研究對象共納入525對主要照顧者與被照顧者。65歲以下的主要照顧者自覺健康狀況影響因子為與被照顧者的關係及曾經使用居家式服務、65歲以上的主要照顧者自覺健康狀況之影響因子為每月花費在照顧長者的費用佔全家總收入比例、被照顧者自覺健康狀況及曾經使用居家式服務。男性主要照顧者自覺健康狀況之影響因子為被照顧者與家人的相處情形、照顧長者時間、被照顧者自覺健康狀況及曾經使用居家式服務；女性主要照顧者自覺健康狀況之影響因子為每月花費在照顧長者的費用佔全家總收入比例。輕度失能者其主要照顧者自覺健康狀況之影響因子為目前有工作，以及每月花費在照顧長者的費用佔全家總收入比例；中度失能者其主要照顧者自覺健康狀況之影響因子為被照顧者的媳婦、被照顧者自覺健康狀況及曾經使用居家式服務。主要照顧者為配偶者其自覺健康狀況之影響因子為被照顧者自覺健康狀況，以及每月花費在照顧長者的費用佔全家總收入比例；主要照顧者為女兒者其自覺健康狀況之影響因子為被照顧者獨居，以及與家中長者關係不太好；主要照顧者為媳婦者其自覺健康狀況之影響因子為家中每月花費在照顧長者的費用佔全家總收入比例及曾經使用居家式服務；主要照顧者為其他關係者其自覺健康狀況之影響因子為被照顧者年齡65-74歲以及曾經使用居家式服務。非獨居被照顧者其主要照顧者自覺健康狀況之影響因子為每月花費在照顧長者的費用佔全家總收入比例與被照顧者自覺健康狀況；獨居被照顧者其主要照顧者自覺健康狀況之影響因子為全家一個月總收入與家中每月花費在照顧長者的費用佔全家總收入比例。, 結論：根據結果可知1.使用居家式長照服務對主要照顧者年齡≥65歲、男性及主要照顧者為其他關係者其自覺健康狀況有正面影響；對主要照顧者年齡<65歲、被照顧者中度失能、主要照顧者為媳婦者其自覺健康狀況有負面影響。2.主要照顧者家中每月花費在照顧長者的費用佔全家總收入比例、被照顧者與家人相處情形、與家中長者關係、曾經使用居家服務與被照顧者年齡等為影響主要照顧者自覺健康狀況之重要因子。未來制定長期照顧政策及提供服務時可考量主要照顧者健康相關特質，針對不同需求提供相對應服務，以提升主要照顧者健康。,",醫學
"研究背景與目的：病人安全為全球持續重視的醫療照護議題，近幾年病安事件頻傳，不僅造成病人生命安全的危害，更讓醫療機構聲譽重創，而重視病人安全文化能減少醫療疏失並提升醫療品質及病人滿意度。研究目的將分析不同背景變項在護理人員病人安全文化及住院病人滿意度之差異，及護理人員病人安全文化對病人滿意度之影響情形。研究方法：採回溯性問卷調查法，以中部某醫學中心護理人員及住院病人或家屬為研究對象，研究工具為護理人員「病人安全態度量表」及「住院病人滿意度調查」，所得資料以統計軟體IBM SPSS Statistics 24.0版及SAS進行描述性統計、獨立樣本t檢定、單因子變異數分析、複迴歸分析。研究結果：（1）擔任主管、不同之受雇別、教育程度、年齡及年資之護理人員在病人安全文化之態度有顯著差異。（2）不同性別、年齡及身分別病人對住院滿意度有顯著差異（3）「診療過程」會受到「工作狀況」的正向影響；而「環境設施」會受到「對壓力的認知」正向影響及「對管理的感受」負向影響；而「友善服務」會受到「對壓力的認知」及「復原力」的正向影響；「住院病人整體滿意度」則受到「單位安全的風氣」的負向影響並受到「對工作的滿意」及「對壓力的認知」的正向影響。結論及建議：護理人員病人安全文化態度對住院病人滿意度部分有顯著影響。建議透過營造更具人性化工作環境，多關懷醫療相關人員、協助其紓解情緒壓力，並讓病人及家屬參與照護流程，傾聽需求，以提升對病人安全的認知及照護。,",醫學
"世界衞生組織(World Health Organization,WHO)表示，依據聯合國機構在日內瓦發布的報告，憂鬱症近年來已經成為現代病，每20人就有一人發病，統計2005年至2015年的全球患者，共有3億人身受折磨，約佔全球4.4%的人口，放眼這十年來共成長了18.4%，2017年的世界衛生日聚焦於這一項日益嚴重的課題，而對婦女來說，產後憂鬱症（postpartum depression ,PPD）已成為婦女心理健康的重要議題。,     本研究旨在探討產後護理之家產婦產後憂鬱經驗，為求還原此經驗的本質及其意義，故採用質性研究法進行研究。本研究於中部某醫學中心採立意取樣方式收案，研究對象為入住於產後護理之家有產後憂鬱情形之產婦，進行一對一深度訪談，並以錄音方式進行資料蒐集，直到資料呈現飽和狀態。共訪談10位個案，資料分析之步驟採用Tesch(1990)的八項資料分析，研究結果呈現三個主題及九個次主題: (一) 甜蜜負擔:角色的轉變、不堪負荷的身體、時空混淆的睡眠。(二)五味雜陳:心境的千頭萬緒、過高的自我要求、情緒的自相矛盾。(三)撥雲見日:尋求協助、壓力出口，親友陪伴、支持鼓勵，個性使然、自我調適。本研究結果顯示在產後護理之家產婦即使在舒適的環境及專業人員的照護下仍然會有產後憂鬱的情緒表現，產後護理之家產婦產後憂鬱經驗中常會面臨到一些困境，然後最終產後護理之家產婦面對產後憂鬱的情緒所採取應對策略，及以適應的態度面對產後憂鬱情形，代表著產後護理之家產婦經歷產後憂鬱這個情緒的過程中，並非消極的。在少子化的時代政府機關為了鼓勵育齡婦女生產，擬定了許多鼓勵、獎勵的計畫，但如何給予產後婦女更完善的產後心理醫療照護更是當務之急，期盼本研究結果可提供臨床實務或日後相關研究之參考。, ,",醫學
"背景：機構式服務不僅照護時間長，照護內容複雜，照護需求由「治療」轉為「治療與照護並重」，照護品質日益受到重視。台灣醫療照護品質指標系列THIS與台灣臨床成效指標系統TCPI對於醫療品質改善皆有顯著貢獻，並涵蓋長期照護指標，屬全國機構皆可參與的全國性品質指標監測系統。然而全國性的品質指標監測系統在一般護理之家之間尚未普及。, 目的：1.調查我國一般護理之家採用全國性的品質指標監測系統之現況。2.探討一般護理之家採用全國性的品質指標監測系統的知識障礙為何。3.探討知識障礙如何影響一般護理之家對全國性的品質指標監測系統的採用意願。, 方法：對全台514家一般護理之家進行問卷調查，共回收125份有效問卷，有效回收率為25%。透過迴歸模型分析各變數對機構採用全國性的品質指標監測系統意願之影響。, 結果：「財務知識障礙」、「組織知識障礙」及「行為知識障礙」對全國性的品質指標監測採用意願有顯著負向影響，影響依序為「組織知識障礙」、「行為知識障礙」、「財務知識障礙」。表示財務的籌劃、機構內部工作流程的調整與人力規劃，以及人員的心理調適是影響全國性的品質指標監測系統成功導入機構的關鍵因素。, 結論：本研究結果顯示一般護理之家採用全國性的品質指標監測系統僅為20%，採用現況尚未普及。首先財務知識障礙問題，機構方與醫策會或醫務管理學會需共同訂定符合一般護理之家的收費標準。組織知識障礙問題，由高階主管帶領，組成推動全國性的品質指標監測系統小組，定期開會將工作流程及人力配置整合到最佳。最後，行為知識障礙問題，讓人員認識到需要改變，並進行培訓提高人員的技能。,",醫學
"我國即將從高齡社會進入超高齡社會，老年安養問題除了政府提供基本的社會福利外，國民仍須及早自行規畫安排，以補足老年安養的生活。其中商業保險應如何符合未來社會的需求，是一個值得探討的議題。本研究針對現行老年安養所需的商業長期照顧保險、殘廢照護保險及特定傷病保險等三種泛長期照護保險的內容，採取比較性研究法加以比較，探討商業長期照護相關保險的異同，並提出經營管理方面的建議。, 　　研究結果發現：一、保險費率方面，男性投保年齡15至33歲投保長期照顧保險最便宜，其他年齡層以殘廢照護保險最便宜，女性則是投保殘廢照護保險最便宜。二、銷售方式方面，業務員通路主推身故給付的殘廢照護保險，銀行保經代通路及保險經代人通路，則以無身故給付的殘廢照護保險為銷售主力。三、保障內容方面，能同時符合三者給付之條件者，有腦中風後殘障（重度）中植物人狀態、腦中風後殘障（重度）中兩肢（含）以上運動或感覺障礙而無法自理日常生活者、昏迷、嚴重頭部創傷、阿茲海默病、運動神經元疾病、多發性硬化症、癱瘓（重度）中兩上肢三大關節中之兩關節（含）以上遺留障害、帕金森氏症、重度類風濕性關節炎等九種病況。, 　　由結論可發現，三者共同給付之項目或條件相同者均多，若能綜合各商品的優點，設計出三者保障範圍各有特色而不重疊的保險商品。如此一來，保險公司可降低成本，消費者也可購買到較廣保障範圍的泛長期照護保險商品；而商品因單純化，也可降低教育訓練成本，在銷售組合上，能使行銷更容易，可降低消費者的理賠爭議，並容易導入理賠自動化人工智慧（Artificial Intelligence,  AI）系統，增進理賠服務，有效提升市場競爭力。, ,",醫學
"本研究旨在由長期照顧機構住民之家屬觀點探討長期照顧機構長者的臨終議題，檢視家屬對長者的善終規劃及其於臨終決策之影響。運用質性研究之深度訪談法，分別與12名機構長者家屬以半結構方式進行訪談資料蒐集。,     經由訪談內容之整理分析，顯示家屬觀點下之”WHAT”長照機構長者善終意涵架構：”What”善終定義分為生理、心理、社會及靈性四個層面；”Timing”臨終議題討論時機分為三類：從日常中開啟對話、遭逢親友變故及長者面臨狀態改變；而家屬與長者無法進行討論的原因則有：長者健康狀態平穩時並不會多想、長者因疾病干擾無法表達意願、長者對於談論死亡的避諱與顧忌長者的誤會，晚輩不方便主動詢問；”How”家屬對長者的善終規劃分為臨終選擇與身後事宜計畫，臨終選擇包括：三不一要策略、減輕疼痛、及時行樂、共度最後時光、向長者道愛、順其自然面對死亡及運用宗教力量協助長者安然離去；身後事宜計畫的考量包括：遵循長者生前交代、子女預先為長者準備、依循宗教儀式、一場告別的「秀」以及達成對於生者的心靈慰藉；”Agent”長者善終決策的代理人，長者曾對於臨終或身後事宜表達想法的情況下，家屬的決策考量包括：達成共識尊重長者想法、因應其他考量無法遵從長者意願、彼此意見相左時家屬期望改變長者想法；若長者未曾表態，則家屬的態度包括：長者飽受疾病干擾只能由家屬代為決定、依據傳統此事自然該託付給家屬決定以及由親戚介入與家屬共同決定。,     基於上述研究發現，本研究分別就主要照顧家屬以及長期照顧領域實務工作提出多項建議，以做為未來思考長者臨終議題與服務提供之參考。,",醫學
"許多文獻指出護理人員超時工作的情形普遍，繁重的工作環境會對於護理人員造成負荷與倦怠，工作所帶來的壓力容易讓護理人員產生職業倦怠感，而研究顯示工作壓力與職業倦怠都是導致離職的因素。本研究之目的是探討長期照護機構護理人員工作壓力與職業倦怠之間的關係。本研究採電子問卷調查法，以長照機構的護理人員為對象，共回收有效問卷302份。以SPSS及AMOS統計軟體為分析工具。研究結果顯示：(1) 不同背景的護理人員對工作壓力有顯著的差異；(2) 不同背景的護理人員對職業倦怠有顯著的差異；(3) 護理人員工作壓力會正向影響職業倦怠。結論：長期照護機構的護理人員有較高的工作壓力與職業倦怠的情形，並依據研究結果提出建議給予長照機構管理者參考。,",醫學
"產後護理機構目前是一個需求大於供給的高度活躍市場。但市場競爭日益增大，如何找出市場差異對業者是非常重要的。本研究探討以不同孕期、孕次、背景的孕婦對產後護理機構在硬體設備、專業照護、服務保證與產後調理等四大服務構面所提供的服務需求重視程度差異性，來做市場差異化服務之研究。藉此變項設計不同服務重點來服務至機構參觀的消費者，用提升服務品質方式來展現其經營特色。, 研究發現第一孕期的受訪者，在專業照護重視程度高於第二孕期以上的受訪者，且差異達顯著水準；不同孕次的孕婦對四大服務構面重視程度無明顯差異；人口統計背景方面對各項服務重視程度，除了家庭型態無明顯差異外，其餘在年齡、職業、教育程度與家庭月平均總收入方面，有部分服務項目達明顯差異。, 最後，依據研究結論，提出建議如下: 在介紹流程上，可針對第一孕期孕婦先特別加強說明機構在專業照護上提供的服務，滿足第一孕期孕婦最重視的服務需求。最後依孕婦背景較關注的服務項目等問題來進行雙向通溝說明，展現機構的專業度，建立起良好的接觸印象，來說服孕婦做消費決策。消費者對機構提供的硬體設備、專業照護、服務保障與產後調理都顯示相當重視，因此必須縮小服務、溝通、傳遞之過程中與消費者所產生的缺口。讓認知服務能符合或超出消費者的預期服務，才能創造優良的服務品質，建立市場好口碑。,",醫學
"台灣的護理人員因為人手不足、工作時間長加上大部分人員須輪班工作，造成他們心理承受在工作上的壓力很大，且台灣的護理人員大部份為女性，社會賦予女性的刻板印象，導致他們在工作及家庭兩邊忙碌，常伴隨會有憂鬱、疲倦、睡眠障礙。近年來，許多研究發現維生素D不只是對骨骼的發展有關，也與憂鬱、疲倦、睡眠、免疫系統，甚至心臟疾病、糖尿病、慢性腎臟病相關；而發炎因子也被證實與憂鬱相關。本研究目的為探討輪班工作者憂鬱、睡眠問題、疲勞程度及發炎指數與血清中活性維生素D3的濃度之間的關係，以期能找出血清中活性維生素D3的濃度缺乏造成輪班工作者憂鬱、睡眠問題、疲勞程度及發炎預測的指標，作為日後改善輪班工作者身心健康的依據。本研究調查海線地區某區域教學醫院的普通病房、加護病房、急診單位共95位護理人員理利用疲倦量表、貝克憂鬱量表、睡眠通透性量表、血液生化數值、血液中發炎因子、血液維生素D濃度及非侵入性心跳率變異度檢測儀來檢測大夜班、小夜班、白班護理人員其憂鬱、疲倦、睡眠與維生素D缺乏(<20ng/ml)、不足(20~29 ng/ml)、足夠(≧30 ng/ml)及發炎因子與心跳變異度的關係。研究結果發現在95位護理人員中，高達91.6%有維生素D3缺乏及不足。不同班別的護理人員其睡眠困擾的通透性量表分數有顯著差異，其中大夜班平均分數顯著大於白班、小夜班；三個班別總分僅有大夜班有輕度憂鬱症狀；有疲倦的受試者占所有受試者的84.2%。但將維生素D3分成缺乏(<20ng/ml)、不足(20~29 ng/ml)、足夠(≧30 ng/ml)，發現維生素D3與睡眠、疲倦、憂鬱的關係並無明顯相關，但在心跳變異度中維生素D缺乏者nLF顯著較低、nHF則顯著較高。本研究結果值得讓大家更重視護理人員的工作環境及條件，多體諒護理人員的辛勞，政府也應該要正視目前醫療環境來做改善。,",醫學
"老年人口逐年快速增加是不可避免的趨勢，雖然需求增加了但相對各項不利經營的困境也日益加重。福利漸漸式微，產業化也更趨明顯，如何應用各項經營管理技能克服經營困境，運用各項經營策略發掘新需求、擴大新市場、完成新市場區隔、開創機構新立基，追求機構永續經營，將是每一經營者面對的新課題。, 本研究目的旨在探討屬於長期照護的護理之家醫療服務品質、知覺價值與滿意度之影響關係，並以本人服務之台南市某公營護理之家之住民家屬為研究對象，並歸納參考文獻與製作問卷，並以 SPSS 22.0 統計軟體進行資料分析，包括描述性統計、信度與效度分析、獨立樣本 t 檢定、單因子變異數分析、皮爾遜積差相關及迴歸分析等統計方法以進一步實證分析來檢定假設。研究結果將了解消費者的認知價值，進一步改善本院醫療服務品質與家屬滿意度，供長期照護業者在經營策略上之參考。, 本研究實證結果發現：服務品質對知覺價值具有正向顯著影響；知覺價值對滿意度具有正向顯著影響；服務品質對滿意度具有正向顯著影響。而不同的個人背景變項中，不同之年齡、教育程度及每月經濟來源的住民的家屬分別對服務品質、知覺價值與顧客滿意度構面，呈現部分顯著差異。,                          關鍵字：護理之家、醫療服務品質、知覺價值、消費者滿意度, ,",醫學
"隨著醫療環境之演變及全球醫療科技日益精進，現代化的大型醫療院所都具備相當規模的電腦資訊系統，據 IBM（International Business Machines Corporation，國際商業機器股份有限公司）統計，醫療院所是2015年最常遭到駭客攻擊的機構，其中部分原因來自於醫療院所的資訊系統含有大量個人資料，因此吸引駭客攻擊醫院、綁架電腦系統勒贖，多起事件也提醒了醫療界注重資訊安全，所以醫療組織必須建立一套資訊安全管理系統的架構以降低安全風險及可能之損失。,    本論文針對醫療機構之-手術室，參考【醫院資訊系統規範-2.0】作為各醫療機構導入資訊安全管理系統的主要方向，並以ISO 27002為基礎，納入保護雲端個人數據的系統標準：ISO 27018及個人資料保護法對有關資訊安全的規範，彙整出符合ISO 27799:2016國際資訊安全醫療標準為核心之〔醫院資訊系統規範-手術室護理資訊系統安全措施〕，應用於林宜隆教授等人所提出PLSE四大構面之資訊安全維護措施分析，最後再根據修正式德爾菲法問卷調教驗證手術室護理資訊系統之安全重要性與可行性，提出本論文研究發現與建議，藉此提供國內已導入護理資訊系統之醫療機構參考。, ,",醫學
"本研究旨在以經驗學習理論的應用，探討台灣與香港長期照顧機構管理者增能歷程，以及比較兩地管理者增能歷程之異同，進而建構台港兩地機構管理者增能模式。茲就具體研究目的分別為：一、比較台港兩地管理者擔任管理職位的背景與動機；二、比較台港兩地管理者目前工作內容及其所需具備之核心能力；三、比較台港兩地管理者初任管理職、當前主要困境與未來困境，以及因應困境的策略、增能方式及增能結果；四、建構台港兩地長期照顧機構管理者增能模式；五、根據研究結論，提出未來對台港兩地長期照顧機構與政府培育人才，以及未來相關研究之參考。,     本研究採用質性研究法，並以半結構式訪談法蒐集資料，進而採用比較研究法，以進行歸納和比較台灣與香港長期照顧機構管理者增能歷程之異同。本研究共訪談16 間台港兩地長期照顧機構管理者。其中，台灣機構管理者共十位，有五間是經政府評鑑為優等的機構，五間是甲等機構，包含四位男性、六位女性，其在目前機構的服務年資為2~18年，平均年資7.1 年。香港機構管理者共六位，有三間是香港老年學會公告獲選為香港安老院舍優質服務全面參與獎機構，三間是持有有效評審認證機構。包含一位男性、五位女性，其在目前機構的服務年資為2~24 年，平均年資9.5 年。本研究結果主要歸納為十項結論，分述如下：, 一、台港兩地管理者擔任管理者的動機主要受過去學習、職場經驗及個人信念與家庭等三大因素影響，且這些因素彼此之間可能相互影響，其中個因素中各以相似與相異的原因。, 二、台港兩地管理者在機構扮演角色與工作內容大致相同，其中較為不同之處在於台灣管理者重視人才培育和職涯發展，以及機構內外資源的連結；香港管理者注重市場開發與品牌建立。, 三、台港兩地管理者在核心職能中，長期照顧職能皆相同，但在高齡者健康老化共通職能、經營管理職能與共同態度方面有所不同，進而本研究依據兩地管理者核心職能結果建立兩地管理者核心職能模型。, (一)兩地管理者核心職能在長期照顧專業職能方面的內涵相同，但在高齡者健康老化共通職能、經營管理職能與共同態度方面有些微差異。, (二)兩地管理者核心職能模型是由七大共同態度、三大高齡者健康老化共通職能、四大長期照顧專業職能與八大經營管理職能所構成的M 型金字塔。, 四、台港兩地管理者過去初任管理職在遭遇相似困境中，所採取因應策略皆是透過學習以達個人增能；另兩地管理者在過去所遭遇困境有所差異，因而採取不同因應策略。, (一)個人能力不足與工作中不適應為兩地管理者過去初任管理職的共同困境，且所採取因應策略與增能方式會是透過學習，以個人增能為優先。, (二)兩地管理者在初任管理職所遭遇的困境有所差異，台灣管理者遭遇人事管理、家屬投訴、機構營運及建立制度與模式等困難；香港管理者則是遭遇第一次參與安老院舍評鑑的困難，因而採取不同的因應策略以克服困難。, 五、人事管理、機構品質及機構營運與發展為台港兩地管理者現在共同困境，其中在各困境中兩地各有相似與相異之處，但兩地管理者所採取的因應策略則以促進機構整體發展與提升服務品質為主要目標。, 六、政策變遷與發展被兩地管理者視為機構的未來困境與挑戰，台港兩地管理者對新政策推動所提出因應策略差異之處在於社區連結與否。, 七、台港兩地管理者過去增能方式皆以正規教育、非正規教育與非正式學習為主，藉以提升個人能力；現在增能方式以非正規教育與非正式學習為主，其中較特別之處是台灣管理者還有參與正規教育，藉以達到個人與機構增能。, 八、增能結果皆對於台港兩地管理者個人與機構增能產生正向影響，然而台灣管理者比香港管理者重視與社區的連結與社區增能。, 九、從過去到現在增能中，增能結果也可能影響台港兩地管理者持續擔任管理者與工作動力，甚至會影響個人未來持續學習與增能的方向。, (一)在增能歷程中，有團隊支持與認同、住民的改變，以及從工作中找到成就感與自我價值是支持兩地管理者持續工作動力；其中較特別的是台灣管理者還將機構永續發展與傳承作為個人使命與持續工作動力。, (二)機構管理與老人照顧相關課程是兩地管理者未來增能的目標，較不同的是台灣管理者想學習團隊增能與人才培育、老人政策與國外長照經驗，及活動帶領課程；香港管理者則是想學習心靈成長類的課程。, 十、台港兩地管理者增能模式是由六項要素所構成，且每個要素之間會彼此產生連結，並以經驗學習貫穿管理者增能歷程，同時隨著個人職務升遷或改變形成增能模式與循環歷程。, ,",醫學
"我國人口老化與失能者照顧的問題日趨嚴重，民眾對於長期照顧的意識日漸高漲。本研究重點在瞭解我國長期照顧制度之現況與推動和知覺風險與長期照顧險購買意願之關係並且探討以個人屬性-性別、年齡為干擾變項對知覺風險與長期照顧險購買意願之間影響。本研究採用問卷調查法來收集資料，於2018年3月27日至4月7日以電子問卷方式發放，合計426份，並採用敘述統計分析、信度分析、相關分析、迴歸分析進行資料分析來驗證研究假說。, , 根據資料分析，研究結果發現：, (1)知覺風險對長期照顧險購買意願有負向影響, (2)性別在知覺風險與長期照顧險購買意願之間具有部分干擾效果, (3)年齡在知覺風險與長期照顧險購買意願之間具有部分干擾效果, , 最後依據上述研究結果，分別對政府單位、保險業者與後續研究者提出相關建議，以供參考。, ,",醫學
"背景：職場霸凌是全世界的問題，英國、澳洲、歐洲、美國等國護理人員職場霸凌已是一個重要議題，並發現健康醫療照護體系發生職場霸凌(workplace bullying)的機率，明顯高於一般職業。, 目的：本研究為質性研究以探討組織工作因素之職場霸凌為主要研究目的，並探討護理職場霸凌發生後之工作效能的影響。, 方法：研究採用質性訪談，共招募志願參加達飽和共14位護理人員。採用一對一提問半結構式深訪方式進行，訪談時間約為30~90分鐘。取得IRB的審核通過後，開始收集資料。訪談過程同時收集訪談稿、筆記及經個案同意進行同步錄音。另外，為了彌補資料不足，必要時也採用電話回訪。訪談資料譯成逐字稿後，再進行編碼(code)、分析歸納與整理，在做分類說明。, 結果：影響護理人員職場霸凌之因素分別為組織管理因素及政策問題兩大類。組織因素包含主管領導風格的問題、不友善的環境(人際關係)、組織公平性、不當的組織規範；政策因素，包含，院內及國家醫療管理政策。霸凌事件發生對護理人員之工作效能及身心健康均有影響。, 結論：護理職場霸凌之相關因素中，護理人員的工作特質與工作滿意度是相對等的。當工作滿意度不佳，即易發生職場工作霸凌問題。而針對組織相關因素中管理者也就是主管的領導能力，對基層護理人員而言非常重要；她們認為主管在處理霸凌事件，或事件發生時處理不當，是會影響護理人員的工作效能。主管領導問題，被視為單位發生霸凌時，最主要的影響因素。本研究收集分析中發現最新最特別的議題為政策問題。另頻繁的國家政策變動且無良善的相對應措施，均易導致這些政策，造成一連串的組織工作霸凌問題發生。, 建議:, 1. 建議醫院有良善的公開工作規範及明確的工作分配，升遷制度公開透明，及公平有制度的獎懲條例，並確實落實施行。, 2. 倡導反霸凌行動零容忍策略，應強調上與下之間的雙向溝通，護理主管必須有良好的領導能力，或成立反制霸凌的組織。, 3. 國家能在實施新政策前能有良善配套措施或明確的策略，勿朝令夕改。, , ",醫學
"本研究的目為開發一基於串聯彈性致動器所設計的工業型鉚壓模組作為印刷電路板打件機的相關應用，其中串聯式彈性致動機構固定於滑塊上，並置於位移機構的線性滑軌作定向位移，藉由線性馬達驅動滑塊快速下降，使彈性致動機構前端的沖頭沖壓置放於印刷電路板上的緊固件，如此完成整個鉚壓作業。本模組的特點為不需要再額外加裝壓力感測器做回授控制，利用讀取彈簧的壓縮曲線便可調整PID控制器參數適應不同材質緊固件的鉚壓作業，並判其鉚壓品質。實驗結果證實了此系統於緊固件鉚壓作業的可行性。,",工程
